328, 0, 0, 312, 312, 0, 300, 300, 312, 302, 304, 0, 0, 308, 304, 302, 302, 276, 300, 320, 0, 308, 312, 308, 310, 0, 298, 304, 304, 306, 312, 302, 294, 316, 312, 0, 302, 308, 300, 304, 306, 324, 308, 300, 304, 0, 312, 0, 0, 300, 0, 302, 0, 304, 310, 294, 284, 0, 0, 304, 300, 308, 226, 312, 304, 304, 300, 0, 306, 0, 302, 304, 306, 308, 316, 288, 0, 0, 300, 306, 300, 0, 300, 0, 302, 302, 0, 298, 300, 302, 320, 302, 0, 300, 304, 300, 294, 308, 0, 308, 304, 300, 0, 304, 308, 0, 306, 0, 298, 0, 310, 0, 302, 0, 308, 300, 302, 302, 312, 304, 
362, 360, 0, 368, 360, 360, 360, 0, 284, 0, 368, 0, 360, 292, 0, 358, 0, 0, 360, 360, 324, 360, 362, 0, 360, 360, 360, 278, 364, 368, 360, 0, 360, 0, 360, 360, 368, 362, 0, 0, 354, 354, 358, 358, 0, 360, 268, 306, 0, 0, 362, 360, 358, 0, 214, 286, 360, 362, 0, 364, 364, 358, 358, 360, 0, 362, 362, 360, 364, 0, 0, 0, 358, 0, 358, 366, 0, 360, 360, 0, 306, 360, 360, 362, 360, 0, 0, 368, 360, 0, 356, 0, 0, 356, 0, 0, 0, 0, 362, 358, 0, 0, 258, 362, 358, 358, 364, 288, 358, 360, 360, 360, 0, 0, 364, 0, 360, 0, 366, 362, 
374, 320, 0, 286, 354, 378, 374, 374, 376, 358, 378, 374, 370, 378, 372, 378, 374, 356, 376, 376, 0, 0, 374, 0, 374, 0, 0, 374, 0, 0, 376, 0, 0, 374, 376, 366, 244, 376, 374, 0, 374, 302, 374, 374, 378, 374, 374, 0, 374, 374, 0, 372, 374, 378, 374, 0, 374, 378, 0, 374, 376, 0, 376, 0, 0, 0, 0, 368, 372, 374, 0, 374, 0, 374, 0, 376, 368, 0, 378, 372, 0, 0, 0, 288, 372, 372, 0, 0, 0, 372, 372, 376, 0, 372, 0, 378, 0, 372, 0, 372, 372, 374, 378, 372, 372, 0, 0, 0, 372, 372, 0, 372, 376, 374, 0, 372, 372, 376, 0, 0, 
402, 312, 400, 390, 0, 352, 388, 390, 364, 392, 388, 392, 394, 388, 400, 330, 390, 0, 388, 372, 0, 388, 376, 392, 390, 392, 394, 326, 0, 388, 382, 0, 0, 382, 388, 0, 0, 390, 392, 390, 392, 0, 0, 362, 392, 392, 0, 382, 390, 300, 294, 0, 392, 388, 388, 0, 388, 388, 388, 0, 0, 0, 368, 392, 388, 0, 388, 388, 394, 0, 378, 390, 402, 388, 314, 0, 388, 0, 388, 390, 388, 388, 402, 0, 388, 0, 392, 386, 354, 386, 0, 0, 400, 388, 392, 0, 390, 388, 392, 388, 392, 326, 390, 0, 388, 390, 388, 388, 0, 392, 356, 364, 0, 0, 0, 388, 380, 392, 388, 0, 
404, 406, 0, 390, 406, 404, 0, 0, 410, 314, 410, 410, 0, 418, 0, 0, 406, 406, 352, 406, 414, 410, 410, 406, 406, 386, 414, 406, 406, 408, 410, 0, 0, 300, 0, 406, 406, 386, 408, 404, 0, 378, 380, 410, 0, 410, 406, 400, 274, 406, 358, 410, 300, 412, 414, 410, 406, 406, 410, 414, 0, 0, 406, 410, 406, 410, 406, 406, 410, 410, 406, 406, 406, 0, 406, 410, 410, 0, 0, 406, 400, 0, 0, 406, 414, 406, 406, 410, 408, 410, 406, 0, 404, 406, 0, 406, 0, 406, 0, 402, 410, 384, 406, 406, 400, 306, 0, 406, 410, 304, 398, 406, 0, 406, 410, 0, 0, 0, 406, 0, 
434, 0, 0, 422, 422, 0, 422, 398, 0, 422, 0, 416, 0, 318, 0, 422, 414, 422, 0, 0, 420, 422, 420, 422, 0, 422, 422, 0, 410, 0, 382, 422, 0, 420, 422, 0, 418, 422, 0, 422, 0, 422, 422, 422, 418, 0, 422, 378, 424, 382, 420, 420, 384, 422, 422, 0, 422, 0, 438, 0, 0, 0, 422, 0, 0, 416, 404, 420, 434, 0, 418, 420, 360, 422, 416, 0, 0, 0, 418, 422, 0, 394, 420, 418, 422, 414, 0, 0, 420, 420, 0, 0, 0, 420, 410, 0, 422, 420, 422, 0, 0, 422, 422, 0, 422, 420, 422, 426, 422, 422, 0, 422, 422, 422, 354, 402, 0, 0, 420, 0, 
440, 0, 438, 418, 332, 398, 0, 0, 0, 444, 440, 0, 0, 438, 430, 0, 442, 438, 0, 438, 440, 438, 406, 0, 438, 438, 0, 436, 440, 450, 408, 440, 0, 428, 282, 0, 442, 434, 318, 442, 0, 316, 0, 0, 442, 0, 438, 408, 438, 394, 438, 442, 440, 0, 0, 442, 370, 0, 438, 438, 442, 0, 440, 444, 0, 440, 438, 0, 0, 442, 440, 440, 436, 0, 438, 440, 0, 0, 0, 440, 0, 0, 344, 438, 0, 0, 0, 438, 0, 436, 0, 438, 0, 438, 0, 438, 0, 438, 440, 0, 0, 438, 0, 438, 0, 438, 438, 320, 440, 438, 438, 0, 438, 440, 440, 440, 438, 440, 0, 0, 
452, 444, 0, 450, 448, 444, 0, 450, 454, 450, 450, 450, 0, 456, 0, 0, 0, 436, 450, 430, 452, 450, 452, 0, 450, 424, 0, 450, 0, 450, 452, 0, 450, 440, 418, 450, 0, 0, 446, 454, 436, 454, 448, 450, 450, 450, 448, 446, 406, 0, 446, 0, 0, 446, 450, 0, 0, 448, 394, 450, 448, 450, 450, 444, 0, 0, 0, 0, 454, 446, 446, 336, 446, 0, 446, 446, 0, 0, 0, 0, 450, 0, 0, 0, 450, 0, 0, 440, 444, 0, 0, 0, 448, 0, 0, 0, 0, 450, 444, 0, 0, 0, 456, 444, 450, 398, 446, 0, 0, 450, 0, 0, 442, 444, 0, 0, 0, 0, 442, 0, 
456, 456, 0, 404, 456, 460, 456, 0, 460, 448, 0, 428, 0, 352, 0, 456, 0, 456, 462, 462, 456, 456, 436, 456, 456, 0, 460, 0, 456, 386, 452, 0, 456, 436, 456, 456, 456, 456, 456, 462, 0, 440, 0, 0, 456, 444, 462, 456, 464, 0, 448, 0, 456, 0, 0, 430, 456, 442, 456, 460, 0, 456, 346, 456, 460, 460, 440, 456, 0, 0, 456, 456, 456, 444, 456, 0, 456, 462, 350, 456, 0, 452, 456, 0, 438, 0, 460, 0, 0, 0, 454, 456, 0, 456, 456, 0, 0, 0, 0, 456, 456, 456, 456, 456, 0, 456, 456, 456, 0, 0, 456, 456, 456, 0, 456, 0, 456, 0, 0, 0, 
466, 464, 0, 464, 466, 0, 0, 466, 0, 466, 0, 466, 0, 464, 462, 0, 466, 464, 464, 0, 464, 464, 466, 464, 0, 440, 380, 464, 464, 464, 464, 462, 392, 462, 412, 0, 456, 466, 464, 458, 0, 462, 0, 462, 464, 464, 462, 0, 464, 464, 0, 0, 0, 462, 0, 462, 466, 460, 418, 464, 0, 462, 0, 466, 464, 0, 462, 420, 462, 0, 464, 462, 462, 466, 0, 0, 464, 462, 464, 0, 0, 372, 0, 0, 422, 0, 0, 0, 462, 464, 464, 0, 0, 0, 462, 462, 464, 464, 462, 462, 464, 462, 0, 464, 0, 464, 0, 0, 466, 464, 460, 0, 0, 464, 0, 450, 0, 0, 464, 0, 
