96, 94, 94, 94, 94, 94, 94
94, 94, 94, 0, 0, 0, 0
94, 94, 94, 94, 94, 94, 94
94, 94, 94, 94, 94, 0, 0
94, 94, 94, 94, 94, 0, 0
94, 94, 94, 94, 94, 0, 0
94, 94, 94, 94, 94, 94, 94
96, 94, 94, 94, 94, 0, 0
94, 94, 94, 94, 94, 94, 94
96, 94, 94, 94, 94, 94, 94
96, 94, 94, 94, 94, 94, 0
94, 94, 94, 94, 0, 0, 0
94, 94, 94, 94, 94, 94, 0
94, 94, 94, 94, 0, 0, 0
94, 94, 94, 94, 94, 0, 0
94, 94, 94, 94, 0, 0, 0
94, 94, 94, 0, 0, 0, 0
94, 94, 94, 94, 94, 94, 94
94, 94, 94, 94, 94, 0, 0
94, 94, 94, 94, 94, 94, 94
94, 94, 94, 94, 94, 94, 0
96, 94, 94, 94, 94, 0, 0
94, 94, 94, 94, 0, 0, 0
94, 94, 94, 94, 94, 94, 0
94, 94, 94, 94, 94, 94, 0
94, 94, 94, 94, 94, 0, 0
96, 96, 94, 94, 94, 94, 94
96, 94, 94, 94, 94, 94, 94
96, 96, 96, 94, 94, 94, 0
94, 94, 94, 94, 94, 94, 94
96, 94, 94, 94, 94, 94, 94
96, 96, 94, 94, 94, 94, 94
94, 94, 94, 94, 0, 0, 0
98, 98, 94, 94, 94, 94, 94
96, 96, 94, 94, 94, 94, 94
94, 94, 94, 94, 94, 0, 0
96, 96, 94, 94, 94, 94, 0
96, 96, 94, 94, 94, 94, 0
96, 96, 94, 94, 94, 94, 0
94, 94, 94, 94, 94, 94, 94
96, 96, 94, 94, 94, 94, 94
96, 96, 94, 94, 94, 94, 0
94, 94, 94, 94, 94, 94, 0
96, 94, 94, 94, 94, 94, 94
96, 96, 96, 94, 94, 94, 94
98, 98, 96, 96, 94, 94, 94
96, 94, 94, 94, 94, 94, 94
96, 96, 94, 94, 94, 94, 0
98, 96, 96, 94, 94, 94, 94
96, 96, 94, 94, 94, 94, 94
96, 96, 94, 94, 94, 94, 0
98, 96, 96, 96, 94, 94, 94
98, 96, 96, 94, 94, 94, 0
96, 94, 94, 94, 94, 94, 94
98, 96, 96, 96, 94, 94, 94
96, 94, 94, 94, 94, 94, 94
96, 96, 96, 94, 94, 94, 94
96, 96, 94, 94, 94, 94, 94
98, 96, 96, 94, 94, 94, 94
98, 96, 96, 96, 94, 94, 94
96, 96, 96, 94, 94, 94, 94
98, 96, 94, 94, 94, 94, 0
98, 96, 94, 94, 94, 94, 0
96, 96, 94, 94, 94, 94, 94
98, 98, 98, 96, 94, 94, 94
96, 96, 96, 96, 96, 94, 94
98, 96, 96, 96, 94, 0, 0
96, 94, 94, 94, 94, 94, 0
96, 96, 96, 94, 94, 94, 94
98, 96, 96, 96, 94, 94, 94
98, 98, 96, 96, 94, 94, 94
98, 98, 96, 96, 94, 94, 94
96, 96, 96, 96, 96, 0, 0
96, 96, 96, 96, 96, 94, 94
98, 98, 96, 96, 96, 94, 94
96, 96, 96, 94, 94, 94, 0
96, 96, 94, 94, 94, 94, 94
98, 96, 96, 96, 94, 94, 94
96, 96, 96, 96, 96, 94, 94
98, 98, 96, 96, 96, 94, 94
98, 98, 96, 96, 96, 94, 94
