0, 286, 312, 302, 242, 306, 238, 0, 0, 278, 0, 288, 270, 0, 284, 288, 306, 306, 300, 300, 282, 324, 298, 282, 306, 290, 294, 300, 306, 320, 288, 308, 310, 314, 252, 288, 306, 300, 0, 286, 288, 286, 302, 306, 0, 0, 282, 296, 298, 292, 0, 308, 0, 314, 322, 294, 310, 298, 294, 0, 0, 312, 0, 302, 304, 216, 0, 296, 0, 308, 292, 258, 0, 292, 302, 0, 250, 286, 284, 0, 286, 0, 306, 0, 320, 298, 0, 328, 280, 286, 290, 286, 262, 334, 306, 0, 0, 308, 0, 208, 0, 332, 298, 300, 0, 0, 0, 304, 0, 290, 0, 226, 0, 0, 0, 292, 0, 284, 288, 0, 
262, 340, 240, 348, 352, 0, 0, 346, 328, 354, 338, 354, 0, 166, 342, 330, 348, 0, 302, 352, 0, 356, 352, 348, 350, 354, 350, 354, 350, 0, 320, 0, 356, 0, 0, 312, 0, 352, 348, 346, 350, 0, 0, 222, 0, 352, 340, 340, 348, 348, 352, 346, 0, 0, 356, 0, 328, 310, 338, 356, 342, 0, 342, 0, 0, 0, 0, 0, 0, 348, 342, 0, 348, 290, 0, 0, 0, 350, 330, 0, 0, 0, 342, 344, 342, 0, 356, 0, 344, 0, 0, 0, 342, 314, 344, 340, 0, 348, 0, 0, 344, 348, 272, 352, 350, 0, 244, 340, 0, 350, 0, 348, 0, 0, 356, 298, 350, 0, 358, 0, 
342, 332, 352, 362, 0, 364, 360, 330, 380, 0, 0, 362, 0, 364, 0, 366, 0, 0, 362, 348, 366, 0, 366, 0, 362, 370, 360, 366, 336, 336, 0, 360, 362, 346, 0, 352, 362, 0, 362, 358, 362, 0, 332, 0, 0, 268, 358, 356, 360, 0, 0, 366, 358, 372, 0, 332, 356, 358, 0, 364, 368, 362, 0, 362, 0, 0, 366, 366, 358, 354, 272, 266, 0, 308, 350, 360, 366, 0, 0, 0, 356, 360, 0, 0, 314, 360, 362, 368, 326, 0, 360, 358, 360, 306, 0, 0, 362, 0, 364, 0, 0, 0, 340, 354, 0, 360, 364, 0, 0, 360, 360, 0, 366, 0, 0, 0, 356, 360, 0, 0, 
360, 376, 376, 378, 0, 318, 376, 376, 380, 0, 0, 0, 232, 380, 376, 372, 370, 0, 374, 376, 310, 0, 384, 0, 372, 380, 362, 372, 384, 348, 374, 0, 372, 244, 324, 384, 244, 380, 374, 378, 0, 0, 0, 370, 0, 0, 292, 378, 384, 252, 372, 0, 0, 372, 384, 360, 384, 0, 0, 374, 0, 380, 0, 374, 368, 384, 0, 378, 362, 202, 328, 0, 0, 372, 380, 382, 366, 386, 370, 0, 0, 380, 0, 374, 374, 382, 0, 0, 386, 382, 380, 332, 0, 384, 372, 380, 372, 372, 320, 0, 0, 0, 0, 372, 0, 0, 384, 0, 372, 0, 0, 370, 0, 352, 0, 252, 0, 372, 374, 384, 
0, 382, 400, 0, 0, 396, 252, 314, 384, 0, 0, 382, 384, 0, 384, 0, 392, 386, 386, 388, 392, 0, 384, 0, 0, 0, 394, 398, 388, 388, 388, 0, 388, 388, 388, 384, 386, 348, 386, 340, 384, 336, 398, 388, 392, 0, 394, 388, 396, 388, 390, 374, 388, 388, 0, 0, 384, 0, 388, 386, 0, 0, 0, 388, 320, 384, 392, 348, 388, 384, 0, 0, 390, 0, 380, 276, 0, 386, 378, 0, 390, 0, 0, 386, 324, 390, 0, 0, 0, 0, 0, 384, 0, 384, 0, 0, 0, 398, 406, 390, 388, 0, 0, 0, 0, 0, 384, 362, 384, 390, 0, 0, 380, 0, 0, 382, 388, 0, 0, 0, 
398, 398, 400, 274, 296, 396, 394, 390, 396, 390, 404, 394, 0, 244, 252, 336, 392, 0, 0, 396, 392, 0, 0, 0, 246, 402, 394, 398, 398, 362, 0, 248, 398, 0, 396, 0, 400, 0, 372, 396, 396, 0, 398, 0, 392, 398, 394, 240, 396, 380, 390, 400, 246, 0, 390, 324, 0, 0, 386, 394, 270, 364, 406, 396, 0, 390, 392, 0, 0, 378, 394, 0, 390, 388, 0, 398, 400, 388, 0, 220, 0, 354, 396, 0, 362, 390, 388, 390, 390, 0, 0, 0, 398, 0, 396, 0, 0, 398, 406, 390, 392, 0, 0, 0, 392, 324, 0, 0, 0, 0, 388, 0, 364, 0, 0, 0, 0, 0, 0, 0, 
0, 410, 0, 0, 404, 0, 272, 402, 0, 404, 404, 0, 0, 406, 0, 400, 0, 0, 414, 406, 402, 404, 0, 400, 236, 402, 254, 0, 0, 402, 0, 0, 0, 408, 294, 0, 0, 412, 400, 388, 0, 0, 400, 380, 402, 0, 0, 0, 398, 0, 402, 400, 374, 0, 402, 406, 248, 404, 0, 406, 0, 218, 406, 0, 0, 404, 324, 402, 400, 0, 400, 416, 0, 416, 406, 0, 400, 398, 316, 404, 0, 0, 270, 410, 402, 0, 398, 346, 0, 406, 238, 400, 406, 390, 0, 402, 0, 398, 406, 0, 410, 354, 210, 402, 218, 0, 400, 404, 0, 0, 0, 398, 402, 0, 416, 0, 406, 406, 416, 392, 
418, 262, 256, 418, 224, 408, 416, 0, 410, 306, 416, 0, 418, 394, 242, 0, 412, 410, 414, 0, 0, 0, 410, 0, 414, 416, 412, 394, 400, 320, 418, 414, 412, 418, 418, 412, 414, 330, 400, 410, 390, 416, 268, 0, 426, 418, 272, 414, 0, 418, 0, 0, 408, 418, 414, 410, 0, 414, 410, 0, 334, 414, 0, 0, 390, 404, 0, 0, 418, 406, 430, 416, 0, 416, 0, 422, 0, 404, 410, 0, 406, 412, 0, 0, 0, 0, 0, 0, 0, 400, 414, 416, 402, 0, 414, 418, 0, 410, 264, 414, 410, 0, 0, 0, 420, 264, 286, 404, 0, 434, 0, 376, 0, 400, 416, 360, 406, 0, 416, 0, 
418, 432, 414, 418, 432, 0, 0, 0, 0, 312, 430, 0, 418, 0, 422, 438, 0, 0, 432, 224, 420, 0, 432, 420, 0, 432, 0, 0, 186, 408, 0, 416, 434, 418, 418, 264, 426, 0, 0, 400, 0, 264, 428, 428, 426, 430, 418, 428, 432, 0, 434, 422, 432, 428, 258, 432, 424, 0, 258, 0, 0, 0, 422, 0, 378, 0, 0, 428, 0, 0, 430, 416, 0, 420, 332, 422, 406, 414, 242, 426, 426, 416, 418, 0, 418, 0, 430, 390, 0, 0, 424, 0, 428, 426, 0, 0, 0, 422, 428, 0, 310, 418, 260, 0, 420, 0, 362, 0, 426, 434, 0, 432, 416, 0, 0, 0, 0, 0, 416, 258, 
444, 432, 432, 436, 432, 420, 432, 404, 0, 0, 430, 436, 416, 0, 422, 438, 418, 422, 432, 412, 0, 0, 432, 334, 0, 432, 412, 0, 430, 322, 268, 386, 434, 436, 0, 0, 426, 428, 258, 0, 0, 432, 428, 436, 432, 430, 426, 0, 432, 0, 434, 0, 432, 428, 0, 432, 442, 332, 432, 262, 436, 0, 0, 432, 234, 296, 420, 360, 0, 0, 430, 392, 432, 0, 432, 0, 430, 0, 0, 280, 0, 0, 0, 434, 256, 0, 430, 298, 0, 440, 0, 434, 0, 0, 428, 344, 432, 0, 0, 0, 0, 0, 0, 0, 0, 432, 0, 0, 0, 434, 244, 432, 214, 398, 0, 0, 0, 432, 0, 430, 
